internalTaxonId,scientificName,name,language,main
45100023,Phasianus colchicus,Common Pheasant,English,true
22679839,Cygnus olor,Κοινός Κύκνος,"Greek, Modern (1453-)",false
22679839,Cygnus olor,Mute Swan,English,true
22679856,Cygnus cygnus,Αγριόκυκνος,"Greek, Modern (1453-)",false
22679856,Cygnus cygnus,Whooper Swan,English,true
22679872,Anser brachyrhynchus,Pink-footed Goose,English,true
22680465,Mergellus albellus,Νανοπρίστης,"Greek, Modern (1453-)",false
22680465,Mergellus albellus,Smew,English,true
22680391,Aythya fuligula,Fuligule morillon,French,false
22680391,Aythya fuligula,Μαυροκέφαλη Πάπια,"Greek, Modern (1453-)",false
22680391,Aythya fuligula,Tufted Duck,English,true
22680313,Spatula querquedula,Sarcelle d'été,French,false
22680313,Spatula querquedula,Σαρσέλα,"Greek, Modern (1453-)",false
22680313,Spatula querquedula,Garganey,English,true
22680149,Mareca strepera,Canard chipeau,French,false
22680149,Mareca strepera,Καπακλής,"Greek, Modern (1453-)",false
22680149,Mareca strepera,Gadwall,English,true
22686800,Apus apus,European Swift,English,false
22686800,Apus apus,Swift,English,false
22686800,Apus apus,Martinet noir,French,false
22686800,Apus apus,(Κοινή) Σταχτάρα,"Greek, Modern (1453-)",false
22686800,Apus apus,Common Swift,English,true
22692543,Crex crex,Corn Crake,English,false
22692543,Crex crex,Râle des genêts,French,false
22692543,Crex crex,Ορτυκομάνα,"Greek, Modern (1453-)",false
22692543,Crex crex,Corncrake,English,true
22692146,Grus grus,Crane,English,false
22692146,Grus grus,Grue cendrée,French,false
22692146,Grus grus,Common Crane,English,true
62774969,Egretta garzetta,Λευκοτσικνιάς,"Greek, Modern (1453-)",false
62774969,Egretta garzetta,Little Egret,English,true
22693727,Pluvialis apricaria,Eurasian Golden-Plover,English,false
22693727,Pluvialis apricaria,European Golden Plover,English,false
22693727,Pluvialis apricaria,European Golden-Plover,English,false
22693727,Pluvialis apricaria,Golden Plover,English,false
22693727,Pluvialis apricaria,Pluvier doré,French,false
22693727,Pluvialis apricaria,Eurasian Golden Plover,English,true
22693906,Eudromias morinellus,Dotterel,English,false
22693906,Eudromias morinellus,Pluvier guignard,French,false
22693906,Eudromias morinellus,Βουνοσφυριχτής,"Greek, Modern (1453-)",false
22693906,Eudromias morinellus,Eurasian Dotterel,English,true
22693468,Calidris pugnax,Chevalier combattant,French,false
22693468,Calidris pugnax, النفاش المشاكس,Arabic,false
22693468,Calidris pugnax,Ruff,English,true
22693085,Gallinago stenura,Pintail Snipe,English,false
22693085,Gallinago stenura,Bécassine à queue pointue,French,false
22693085,Gallinago stenura,Pin-tailed Snipe,English,true
22693133,Lymnocryptes minimus,Bécassine sourde,French,false
22693133,Lymnocryptes minimus,Κουφομπεκάτσινο,"Greek, Modern (1453-)",false
22693133,Lymnocryptes minimus,Jack Snipe,English,true
22693264,Actitis hypoleucos,Chevalier guignette,French,false
22693264,Actitis hypoleucos,طيطوى الرمل الشائعة,Arabic,false
22693264,Actitis hypoleucos,Common Sandpiper,English,true
22693243,Tringa ochropus,Chevalier cul-blanc,French,false
22693243,Tringa ochropus,Green Sandpiper,English,true
22693207,Tringa erythropus,Chevalier arlequin,French,false
22693207,Tringa erythropus,Spotted Redshank,English,true
22693220,Tringa nebularia,Greenshank,English,false
22693220,Tringa nebularia,Chevalier aboyeur,French,false
22693220,Tringa nebularia,الطيطوى خضراء الساق,Arabic,false
22693220,Tringa nebularia,Common Greenshank,English,true
22693211,Tringa totanus,Redshank,English,false
22693211,Tringa totanus,Chevalier gambette,French,false
22693211,Tringa totanus,الطيطوى حمراء الساق,Arabic,false
22693211,Tringa totanus,Common Redshank,English,true
22693247,Tringa glareola,Chevalier sylvain,French,false
22693247,Tringa glareola,Wood Sandpiper,English,true
22693216,Tringa stagnatilis,Chevalier stagnatile,French,false
22693216,Tringa stagnatilis,Marsh Sandpiper,English,true
22694782,Chlidonias leucopterus,White-winged Black Tern,English,false
22694782,Chlidonias leucopterus,Guifette leucoptère,French,false
22694782,Chlidonias leucopterus,Αργυρογλάρονο,"Greek, Modern (1453-)",false
22694782,Chlidonias leucopterus,White-winged Tern,English,true
22727137,Picoides tridactylus,Τριδάχτυλος Δρυοκολάπτης,"Greek, Modern (1453-)",false
22727137,Picoides tridactylus,Three-toed Woodpecker,English,true
22681124,Dendrocopos major,Πευκοδρυοκολάπτης,"Greek, Modern (1453-)",false
22681124,Dendrocopos major,Great Spotted Woodpecker,English,true
22708146,Bombycilla garrulus,Waxwing,English,false
22708146,Bombycilla garrulus,Bohemian Waxwing,English,true
22711750,Poecile cinctus,Gray-headed Chickadee,English,false
22711750,Poecile cinctus,Siberian Tit,English,true
103845882,Phylloscopus borealis,Arctic Warbler,English,true
22709701,Calliope calliope,Siberian Rubythroat,English,true
105294257,Tarsiger cyanurus,Orange-flanked Bush-robin,English,true
22718550,Anthus hodgsoni,Olive-backed Pipit,English,true
22721043,Plectrophenax nivalis,Snow Bunting,English,true
22679460,Lagopus lagopus,Red Grouse,English,false
22679460,Lagopus lagopus,Willow Grouse,English,true
22720960,Emberiza rustica,Rustic Bunting,English,true
22679862,Cygnus columbianus,Bewick's Swan,English,false
22679862,Cygnus columbianus,Νανόκυκνος,"Greek, Modern (1453-)",false
22679862,Cygnus columbianus,Tundra Swan,English,true
22679435,Pavo cristatus,Common Peafowl,English,false
22679435,Pavo cristatus,Peafowl,English,false
22679435,Pavo cristatus,Indian Peafowl,English,true
22679503,Centrocercus urophasianus,Greater Sage Grouse,English,false
22679503,Centrocercus urophasianus,Greater Sage-Grouse,English,false
22679503,Centrocercus urophasianus,Sage Grouse,English,false
22679503,Centrocercus urophasianus,Sage Grouse,English,true
22679746,Dendrocygna bicolor,Fulvous Duck,English,false
22679746,Dendrocygna bicolor,Fulvous Whistling Duck,English,false
22679746,Dendrocygna bicolor,Fulvous Whistling-Duck,English,false
22679746,Dendrocygna bicolor,Dendrocygne fauve,French,false
22679746,Dendrocygna bicolor,Fulvous Whistling-duck,English,true
22680853,Melanerpes uropygialis,Gila Woodpecker,English,true
22680862,Melanerpes aurifrons,Golden-fronted Woodpecker,English,true
22680868,Sphyrapicus varius,Yellow-bellied Sapsucker,English,true
22681149,Dryobates nuttallii,Nuttall's Woodpecker,English,true
22681155,Dryobates pubescens,Downy Woodpecker,English,true
22681169,Leuconotopicus albolarvatus,White-headed Woodpecker,English,true
22681181,Picoides arcticus,Black-backed Woodpecker,English,true
22681290,Colaptes chrysoides,Gilded Flicker,English,true
22681363,Hylatomus pileatus,Pileated Woodpecker,English,true
22688637,Psiloscops flammeolus,Flammulated Owl,English,true
22688766,Megascops trichopsis,Whiskered Screech Owl,English,false
22688766,Megascops trichopsis,Whiskered Screech-Owl,English,false
22688766,Megascops trichopsis,Whiskered Screech-owl,English,true
22689353,Athene cunicularia,Burrowing Owl,English,true
22690708,Geopelia striata,Barred Ground Dove,English,false
22690708,Geopelia striata,Peaceful Dove,English,false
22690708,Geopelia striata,Columbine zébrée,French,false
22690708,Geopelia striata,Zebra Dove,English,true
22690762,Columbina inca,Inca Dove,English,true
22692174,Aramus guarauna,Limpkin,English,true
22692684,Porzana carolina,Sora,English,true
22692827,Porphyrio martinicus,American Purple Gallinule,English,false
22692827,Porphyrio martinicus,Purple Gallinule,English,false
22692827,Porphyrio martinicus,Poule sultane d'Amérique,French,false
22692827,Porphyrio martinicus,Purple Gallinule,English,true
22692848,Porphyrio flavirostris,Azure Gallinule,English,true
22693195,Numenius americanus,Zarapito Americano,Spanish; Castilian,false
22693195,Numenius americanus,Long-billed Curlew,English,true
22693383,Calidris ruficollis,Rufous-necked Stint,English,false
22693383,Calidris ruficollis,Bécasseau à col roux,French,false
22693383,Calidris ruficollis,Red-necked Stint,English,true
22693644,Haematopus palliatus,American Oystercatcher,English,true
