internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
45100023,Phasianus colchicus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Phasianus,colchicus,,,,,"(Linnaeus, 1758)","<em>Phasianus colchicus</em> and <em>P. versicolor </em>(del Hoyo and Collar 2014) were previously lumped as <em>P. colchicus </em>following Sibley and Monroe (1990, 1993)."
22679839,Cygnus olor,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,olor,,,,,"(Gmelin, 1789)",
22679856,Cygnus cygnus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,cygnus,,,,,"(Linnaeus, 1758)",
22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,brachyrhynchus,,,,,"Baillon, 1834","Closely related to <em>A. fabalis</em>, of which sometimes considered a subspecies (see related note/s). Monotypic."
22680465,Mergellus albellus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergellus,albellus,,,,,"(Linnaeus, 1758)",
22680391,Aythya fuligula,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,fuligula,,,,,"(Linnaeus, 1758)",
22680313,Spatula querquedula,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Spatula,querquedula,,,,,"(Linnaeus, 1758)",<em>Spatula querquedula</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22680149,Mareca strepera,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mareca,strepera,,,,,"(Linnaeus, 1758)",<em>Mareca strepera</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Anas</em>.
22686800,Apus apus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,apus,,,,,"(Linnaeus, 1758)",
22692543,Crex crex,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Crex,crex,,,,,"(Linnaeus, 1758)",
22692146,Grus grus,ANIMALIA,CHORDATA,AVES,GRUIFORMES,GRUIDAE,Grus,grus,,,,,"(Linnaeus, 1758)","Hybrids with <em>G. monacha </em>recorded on migration in NE China (Williams <em>et al.&#160;</em>1992). New subspecies <em>archibaldi </em>appears to be distinctive owing to absence of red on hindcrown, but other characters remain to be determined; not yet accepted by some authorities (Dickinson &amp; Remsen 2013). E form <em>lilfordi</em> (Turkey to EC Asia; wintering NE Africa E to S China) sometimes recognized, but here regarded as probably undiagnosable, differences from nominate believed to be based on plumage colour variations due in part to differences in feather-painting behaviour. Two subspecies recognized."
